,NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX
39,"x: 344.18564
y: 467.79102
z: -1.418954
visibility: 0.99319404
","x: 359.01874
y: 409.13654
z: -1.3246052
visibility: 0.9884108
","x: 371.4013
y: 405.46802
z: -1.325367
visibility: 0.98635423
","x: 382.03424
y: 403.1162
z: -1.3256898
visibility: 0.9843571
","x: 322.962
y: 419.84622
z: -1.3186113
visibility: 0.9910401
","x: 312.52002
y: 423.4273
z: -1.3178624
visibility: 0.99190295
","x: 304.05856
y: 426.65616
z: -1.3186553
visibility: 0.9934059
","x: 404.39917
y: 421.44223
z: -0.72101796
visibility: 0.9836272
","x: 299.02338
y: 453.10196
z: -0.6500004
visibility: 0.9951386
","x: 374.24686
y: 517.687
z: -1.195273
visibility: 0.9946851
","x: 329.8005
y: 530.50525
z: -1.1772527
visibility: 0.99671763
","x: 498.5684
y: 650.4595
z: -0.4011112
visibility: 0.9309312
","x: 245.6749
y: 711.24756
z: -0.38821533
visibility: 0.9910934
","x: 599.1271
y: 912.09973
z: -0.68132627
visibility: 0.04477009
","x: 201.14268
y: 1045.0747
z: -0.57073855
visibility: 0.3672992
","x: 567.74365
y: 1104.2769
z: -1.3328869
visibility: 0.008041428
","x: 250.16284
y: 1251.4558
z: -1.4792572
visibility: 0.06426255
","x: 577.8899
y: 1181.4895
z: -1.5173453
visibility: 0.010771678
","x: 255.06808
y: 1347.3469
z: -1.6456404
visibility: 0.067630455
","x: 553.78314
y: 1166.3848
z: -1.5772066
visibility: 0.015645687
","x: 276.52383
y: 1311.6914
z: -1.6716248
visibility: 0.09900011
","x: 544.8959
y: 1143.7546
z: -1.3913689
visibility: 0.01807705
","x: 278.4377
y: 1278.8444
z: -1.5033767
visibility: 0.099863775
","x: 500.8742
y: 1333.2844
z: -0.14967166
visibility: 0.00069591234
","x: 312.6673
y: 1357.4644
z: 0.15652476
visibility: 0.0008154614
","x: 519.2451
y: 1849.1384
z: -0.30711848
visibility: 0.000506155
","x: 341.44287
y: 1865.4792
z: 0.15467595
visibility: 0.0004254971
","x: 534.83594
y: 2315.1018
z: 0.36568815
visibility: 8.440532e-05
","x: 365.27045
y: 2329.3867
z: 0.59846544
visibility: 2.8105302e-05
","x: 545.0347
y: 2386.1306
z: 0.37826613
visibility: 6.63724e-05
","x: 365.72018
y: 2402.2725
z: 0.61360246
visibility: 9.576435e-05
","x: 503.09274
y: 2469.9106
z: -0.5152937
visibility: 7.613414e-05
","x: 398.08182
y: 2478.3877
z: -0.29711074
visibility: 0.0001490211
"
40,"x: 344.22507
y: 466.9702
z: -1.389973
visibility: 0.9937227
","x: 359.05872
y: 408.15106
z: -1.3015893
visibility: 0.9893403
","x: 371.46545
y: 404.5548
z: -1.3023036
visibility: 0.98750716
","x: 382.1272
y: 402.2301
z: -1.3026779
visibility: 0.98564196
","x: 322.9601
y: 418.32825
z: -1.2920281
visibility: 0.9917113
","x: 312.51794
y: 421.59827
z: -1.2912614
visibility: 0.99254453
","x: 304.18698
y: 424.44647
z: -1.2920642
visibility: 0.99390304
","x: 404.37268
y: 421.00543
z: -0.7153957
visibility: 0.9850413
","x: 298.98767
y: 451.11713
z: -0.6316107
visibility: 0.99552
","x: 374.20734
y: 517.0868
z: -1.1713215
visibility: 0.9950848
","x: 329.7851
y: 529.06683
z: -1.1486812
visibility: 0.9969425
","x: 494.02066
y: 650.99805
z: -0.38868695
visibility: 0.933604
","x: 246.07286
y: 693.5731
z: -0.3622921
visibility: 0.9912469
","x: 596.9365
y: 912.85254
z: -0.6595605
visibility: 0.045020066
","x: 194.92827
y: 1036.1877
z: -0.52946174
visibility: 0.3717395
","x: 567.5389
y: 1118.3413
z: -1.3473222
visibility: 0.008968277
","x: 244.81161
y: 1243.0836
z: -1.4324112
visibility: 0.0701771
","x: 577.8545
y: 1199.665
z: -1.538653
visibility: 0.011947262
","x: 248.9757
y: 1338.585
z: -1.6002796
visibility: 0.07409551
","x: 553.53485
y: 1187.5422
z: -1.6053139
visibility: 0.017424181
","x: 271.82117
y: 1303.7609
z: -1.6652216
visibility: 0.10866184
","x: 544.17926
y: 1163.047
z: -1.4097008
visibility: 0.020084834
","x: 274.2801
y: 1271.0002
z: -1.4788835
visibility: 0.10849696
","x: 492.31424
y: 1329.1909
z: -0.14251606
visibility: 0.00071892556
","x: 305.06924
y: 1346.1472
z: 0.14947167
visibility: 0.00083464425
","x: 506.2602
y: 1845.3212
z: -0.3190623
visibility: 0.00052490324
","x: 329.77533
y: 1855.5312
z: 0.12479083
visibility: 0.00043702748
","x: 518.38586
y: 2312.5786
z: 0.35140976
visibility: 9.241687e-05
","x: 351.42447
y: 2323.239
z: 0.56760395
visibility: 2.8385859e-05
","x: 527.51825
y: 2384.7969
z: 0.3651679
visibility: 7.586625e-05
","x: 351.638
y: 2398.464
z: 0.58232343
visibility: 9.75197e-05
","x: 486.34036
y: 2465.038
z: -0.5275235
visibility: 8.078648e-05
","x: 382.40063
y: 2470.2988
z: -0.32893145
visibility: 0.00015657692
"
41,"x: 344.04553
y: 466.919
z: -1.4581164
visibility: 0.9942485
","x: 358.98575
y: 407.91855
z: -1.3742182
visibility: 0.9902654
","x: 371.43698
y: 404.30164
z: -1.3747063
visibility: 0.9886
","x: 382.12967
y: 401.9447
z: -1.3750197
visibility: 0.98688155
","x: 322.46338
y: 418.2048
z: -1.3621445
visibility: 0.99242264
","x: 312.1234
y: 421.51135
z: -1.3612359
visibility: 0.9931833
","x: 304.07828
y: 424.5148
z: -1.3619688
visibility: 0.9944101
","x: 404.1871
y: 420.96307
z: -0.75577295
visibility: 0.9863587
","x: 298.55527
y: 451.2154
z: -0.63934886
visibility: 0.9959052
","x: 374.15106
y: 516.8482
z: -1.226922
visibility: 0.99550503
","x: 329.36075
y: 529.091
z: -1.198427
visibility: 0.99719095
","x: 505.57956
y: 654.69696
z: -0.45515317
visibility: 0.93588847
","x: 246.43782
y: 689.52136
z: -0.3837933
visibility: 0.991591
","x: 596.865
y: 928.02136
z: -0.82736236
visibility: 0.04632787
","x: 192.29425
y: 1037.5217
z: -0.5557586
visibility: 0.36715537
","x: 557.933
y: 1110.4799
z: -1.6001923
visibility: 0.009202735
","x: 243.39749
y: 1253.2775
z: -1.3954209
visibility: 0.06994456
","x: 562.8052
y: 1183.7817
z: -1.7918822
visibility: 0.012252612
","x: 247.22064
y: 1356.3901
z: -1.5777906
visibility: 0.07375942
","x: 540.12177
y: 1165.4012
z: -1.8141267
visibility: 0.017877277
","x: 270.8829
y: 1322.8143
z: -1.6573124
visibility: 0.10774816
","x: 533.48645
y: 1144.0156
z: -1.643515
visibility: 0.020589188
","x: 273.05502
y: 1288.1212
z: -1.4512511
visibility: 0.10823367
","x: 490.53235
y: 1335.5829
z: -0.17608169
visibility: 0.0007097703
","x: 299.07602
y: 1351.6759
z: 0.18241175
visibility: 0.0008318476
","x: 504.73898
y: 1853.3198
z: -0.0472599
visibility: 0.00049506937
","x: 327.0087
y: 1864.742
z: 0.6545428
visibility: 0.00041493215
","x: 515.9844
y: 2320.693
z: 0.93130744
visibility: 9.1096736e-05
","x: 344.84006
y: 2331.2795
z: 1.7001785
visibility: 2.7737144e-05
","x: 525.8376
y: 2391.5913
z: 0.97401583
visibility: 7.366418e-05
","x: 344.84726
y: 2405.3818
z: 1.7849197
visibility: 9.6128264e-05
","x: 483.38425
y: 2480.5112
z: 0.062820464
visibility: 7.864228e-05
","x: 374.26077
y: 2486.4263
z: 0.84402883
visibility: 0.00015480461
"
42,"x: 344.66083
y: 466.9486
z: -1.4724423
visibility: 0.99455255
","x: 359.32803
y: 407.81018
z: -1.3896797
visibility: 0.9908773
","x: 371.9224
y: 404.1873
z: -1.3901962
visibility: 0.98936695
","x: 382.45914
y: 401.82635
z: -1.3906251
visibility: 0.98773617
","x: 322.5123
y: 418.10092
z: -1.3848923
visibility: 0.99286884
","x: 312.12686
y: 421.43582
z: -1.3840611
visibility: 0.99359345
","x: 304.13492
y: 424.5506
z: -1.3848736
visibility: 0.99471337
","x: 404.18253
y: 420.89746
z: -0.76828796
visibility: 0.9873203
","x: 298.02393
y: 451.30872
z: -0.7011744
visibility: 0.9961745
","x: 374.542
y: 516.95416
z: -1.2391651
visibility: 0.99580336
","x: 329.5617
y: 529.1358
z: -1.2206558
visibility: 0.9973557
","x: 505.35703
y: 655.8133
z: -0.4550634
visibility: 0.9383935
","x: 243.63893
y: 685.6597
z: -0.39991525
visibility: 0.9917547
","x: 596.2474
y: 932.1738
z: -0.76246595
visibility: 0.04727822
","x: 186.14395
y: 1036.9365
z: -0.5552919
visibility: 0.3696804
","x: 558.3532
y: 1112.2438
z: -1.523824
visibility: 0.009547812
","x: 236.54878
y: 1256.2896
z: -1.3303344
visibility: 0.06956702
","x: 563.9095
y: 1185.7885
z: -1.7116508
visibility: 0.012631011
","x: 240.47636
y: 1357.4761
z: -1.4953965
visibility: 0.07282847
","x: 541.0448
y: 1166.88
z: -1.7563031
visibility: 0.018376416
","x: 264.70145
y: 1324.8569
z: -1.5661354
visibility: 0.106049694
","x: 534.104
y: 1144.7341
z: -1.5761684
visibility: 0.021109328
","x: 266.9263
y: 1290.7417
z: -1.3755214
visibility: 0.10710257
","x: 490.03168
y: 1335.5686
z: -0.17436484
visibility: 0.00072196487
","x: 298.15082
y: 1352.1018
z: 0.18089116
visibility: 0.00085651025
","x: 505.65335
y: 1853.4137
z: 0.006415382
visibility: 0.00047905647
","x: 325.92728
y: 1864.6332
z: 0.5110119
visibility: 0.00040335095
","x: 517.6083
y: 2320.0352
z: 0.93655044
visibility: 9.143757e-05
","x: 344.9576
y: 2328.9644
z: 1.4219158
visibility: 2.7714274e-05
","x: 527.1363
y: 2389.5232
z: 0.97507966
visibility: 7.330356e-05
","x: 344.37634
y: 2401.7695
z: 1.4910501
visibility: 9.675253e-05
","x: 486.5468
y: 2480.0117
z: 0.07799791
visibility: 7.73689e-05
","x: 378.75327
y: 2485.3838
z: 0.5552128
visibility: 0.00015488075
"
43,"x: 345.3771
y: 466.73703
z: -1.4843214
visibility: 0.99483263
","x: 359.73788
y: 407.05676
z: -1.4012343
visibility: 0.99143785
","x: 372.41357
y: 403.43875
z: -1.4018009
visibility: 0.99006385
","x: 382.74338
y: 401.06107
z: -1.402289
visibility: 0.988507
","x: 322.68774
y: 417.4212
z: -1.3975513
visibility: 0.99329156
","x: 312.17297
y: 420.90735
z: -1.3967993
visibility: 0.993983
","x: 304.2523
y: 424.2554
z: -1.3976613
visibility: 0.9950043
","x: 404.18115
y: 420.504
z: -0.7814667
visibility: 0.9881887
","x: 297.7403
y: 451.38016
z: -0.7234436
visibility: 0.9964272
","x: 374.96344
y: 516.8306
z: -1.2513632
visibility: 0.9960683
","x: 329.8623
y: 529.183
z: -1.2351432
visibility: 0.9975024
","x: 505.28394
y: 656.08826
z: -0.45575565
visibility: 0.94014907
","x: 244.01976
y: 685.6245
z: -0.40111408
visibility: 0.9918439
","x: 596.38873
y: 935.1113
z: -0.7236563
visibility: 0.047563586
","x: 186.08244
y: 1037.8574
z: -0.5430688
visibility: 0.37052974
","x: 561.552
y: 1112.6735
z: -1.4407922
visibility: 0.009414247
","x: 235.49025
y: 1257.0256
z: -1.2777588
visibility: 0.06820955
","x: 567.0986
y: 1186.5443
z: -1.6226282
visibility: 0.0124714505
","x: 239.54297
y: 1360.1372
z: -1.4439329
visibility: 0.07103397
","x: 545.01984
y: 1170.2192
z: -1.6729105
visibility: 0.018144818
","x: 263.36496
y: 1328.3278
z: -1.5233738
visibility: 0.103248216
","x: 537.87726
y: 1147.6165
z: -1.4944471
visibility: 0.02080763
","x: 265.62097
y: 1292.9364
z: -1.327398
visibility: 0.104810275
","x: 490.7706
y: 1335.9485
z: -0.17120838
visibility: 0.000717228
","x: 300.24686
y: 1353.4941
z: 0.17765863
visibility: 0.0008611852
","x: 507.39783
y: 1854.6466
z: -0.012266992
visibility: 0.00046862257
","x: 329.055
y: 1865.2661
z: 0.48113638
visibility: 0.00039413033
","x: 521.41736
y: 2320.2568
z: 0.8994484
visibility: 9.271907e-05
","x: 350.86508
y: 2329.0532
z: 1.3804206
visibility: 2.8338942e-05
","x: 531.2137
y: 2389.5413
z: 0.9358347
visibility: 7.3072355e-05
","x: 350.68982
y: 2401.7869
z: 1.4483142
visibility: 9.994432e-05
","x: 491.30264
y: 2480.647
z: 0.042622525
visibility: 7.6696866e-05
","x: 384.4017
y: 2485.3813
z: 0.5173693
visibility: 0.00015658465
"
44,"x: 347.85416
y: 467.53006
z: -1.4351784
visibility: 0.9951808
","x: 361.57196
y: 407.0775
z: -1.3505847
visibility: 0.99204594
","x: 373.93668
y: 403.40945
z: -1.3510559
visibility: 0.9907729
","x: 383.51526
y: 400.9585
z: -1.3515213
visibility: 0.9893253
","x: 324.21487
y: 417.6982
z: -1.3536756
visibility: 0.99375635
","x: 313.15863
y: 421.3785
z: -1.3529519
visibility: 0.99439776
","x: 305.04355
y: 424.9095
z: -1.3538867
visibility: 0.9953448
","x: 404.1777
y: 420.21753
z: -0.73160166
visibility: 0.98904896
","x: 297.73416
y: 452.71954
z: -0.70259905
visibility: 0.99669063
","x: 376.1053
y: 517.44806
z: -1.1998217
visibility: 0.9963331
","x: 331.5835
y: 531.16693
z: -1.1929243
visibility: 0.9976613
","x: 501.73868
y: 656.0713
z: -0.35414398
visibility: 0.94241893
","x: 244.29736
y: 685.93066
z: -0.4068432
visibility: 0.9921917
","x: 592.496
y: 934.9487
z: -0.4835288
visibility: 0.046771377
","x: 186.65765
y: 1035.9614
z: -0.51966226
visibility: 0.381248
","x: 562.13525
y: 1116.1906
z: -1.1165669
visibility: 0.009336315
","x: 236.35103
y: 1261.0161
z: -1.1987603
visibility: 0.06935874
","x: 569.5964
y: 1190.7722
z: -1.2672112
visibility: 0.012418062
","x: 240.53748
y: 1369.8253
z: -1.372107
visibility: 0.071679845
","x: 550.34296
y: 1174.8878
z: -1.3376586
visibility: 0.018043997
","x: 265.59897
y: 1338.8466
z: -1.4566209
visibility: 0.10379409
","x: 541.6986
y: 1152.6045
z: -1.1768944
visibility: 0.020711428
","x: 266.89377
y: 1301.7375
z: -1.2517103
visibility: 0.1057954
","x: 491.2232
y: 1336.5675
z: -0.16372737
visibility: 0.000702708
","x: 301.41922
y: 1354.0558
z: 0.17046693
visibility: 0.0008509992
","x: 507.9343
y: 1855.9946
z: -0.06189847
visibility: 0.00044116715
","x: 328.13913
y: 1865.9337
z: 0.40267792
visibility: 0.00037713084
","x: 521.1998
y: 2321.6914
z: 0.801768
visibility: 8.74982e-05
","x: 350.0617
y: 2329.9436
z: 1.2277638
visibility: 2.7331997e-05
","x: 530.0324
y: 2390.447
z: 0.8322355
visibility: 6.870216e-05
","x: 349.4496
y: 2402.2605
z: 1.2865434
visibility: 9.568766e-05
","x: 493.1118
y: 2482.397
z: -0.06497336
visibility: 7.327825e-05
","x: 385.38803
y: 2486.0244
z: 0.33360356
visibility: 0.00015132931
"
45,"x: 349.2002
y: 468.45538
z: -1.4084473
visibility: 0.9955106
","x: 362.54312
y: 407.09113
z: -1.325669
visibility: 0.9926199
","x: 374.75858
y: 403.40866
z: -1.3261292
visibility: 0.9914426
","x: 383.97293
y: 400.87967
z: -1.3265966
visibility: 0.99009657
","x: 325.14154
y: 418.37146
z: -1.3275605
visibility: 0.99419546
","x: 313.85437
y: 422.32913
z: -1.326865
visibility: 0.9947891
","x: 305.64313
y: 426.14008
z: -1.3278099
visibility: 0.99566644
","x: 404.1745
y: 419.82663
z: -0.7171204
visibility: 0.9898648
","x: 297.7634
y: 454.16644
z: -0.68382895
visibility: 0.99693686
","x: 376.83673
y: 517.95044
z: -1.1759884
visibility: 0.99658084
","x: 332.95297
y: 532.98083
z: -1.1675313
visibility: 0.9978084
","x: 500.134
y: 656.01935
z: -0.33249336
visibility: 0.94437844
","x: 246.84894
y: 686.2021
z: -0.40551734
visibility: 0.9924709
","x: 591.7911
y: 934.87396
z: -0.4585232
visibility: 0.046029177
","x: 187.42427
y: 1036.5612
z: -0.50561535
visibility: 0.38802192
","x: 564.56494
y: 1119.803
z: -1.0898546
visibility: 0.009275003
","x: 237.54758
y: 1267.361
z: -1.1861639
visibility: 0.070448495
","x: 574.0336
y: 1194.4448
z: -1.2397082
visibility: 0.012419127
","x: 242.77036
y: 1378.1105
z: -1.3628411
visibility: 0.07263292
","x: 556.54083
y: 1178.8876
z: -1.3092198
visibility: 0.018029075
","x: 268.57175
y: 1346.7644
z: -1.4472463
visibility: 0.10479328
","x: 546.8019
y: 1157.1858
z: -1.1497027
visibility: 0.020691935
","x: 269.58017
y: 1309.1017
z: -1.2404513
visibility: 0.107179806
","x: 492.05646
y: 1338.0144
z: -0.16162466
visibility: 0.0006954793
","x: 301.84802
y: 1355.7451
z: 0.16849056
visibility: 0.00084995845
","x: 508.6511
y: 1859.1278
z: -0.0824741
visibility: 0.00042186078
","x: 329.6601
y: 1868.496
z: 0.3762535
visibility: 0.00036723437
","x: 522.8327
y: 2324.6406
z: 0.76820654
visibility: 8.3505016e-05
","x: 352.47278
y: 2332.4197
z: 1.1650183
visibility: 2.676845e-05
","x: 531.83765
y: 2393.0444
z: 0.7977798
visibility: 6.5144595e-05
","x: 352.07056
y: 2404.16
z: 1.2203057
visibility: 9.283738e-05
","x: 494.87836
y: 2485.076
z: -0.09404262
visibility: 7.0632326e-05
","x: 387.5842
y: 2488.5623
z: 0.27891785
visibility: 0.00014747054
"
46,"x: 351.32895
y: 468.9642
z: -1.4270877
visibility: 0.995905
","x: 364.30295
y: 407.06345
z: -1.327452
visibility: 0.9932741
","x: 376.36285
y: 403.2739
z: -1.3279766
visibility: 0.9922043
","x: 385.29135
y: 400.57785
z: -1.3282533
visibility: 0.99097264
","x: 326.70007
y: 418.417
z: -1.3395326
visibility: 0.99470365
","x: 315.17
y: 422.45032
z: -1.3388107
visibility: 0.9952443
","x: 306.67114
y: 426.3308
z: -1.3396966
visibility: 0.99604124
","x: 404.58685
y: 419.01456
z: -0.71992373
visibility: 0.9907631
","x: 297.91452
y: 454.83414
z: -0.6866043
visibility: 0.9972066
","x: 378.90567
y: 518.5079
z: -1.1800586
visibility: 0.9968641
","x: 335.5898
y: 533.7112
z: -1.1850526
visibility: 0.9979852
","x: 499.59933
y: 658.6776
z: -0.33183718
visibility: 0.9471334
","x: 248.68521
y: 689.5905
z: -0.4169596
visibility: 0.9926693
","x: 591.8728
y: 939.8179
z: -0.47548896
visibility: 0.045456413
","x: 187.50853
y: 1058.2926
z: -0.49999565
visibility: 0.39269257
","x: 568.54944
y: 1125.5101
z: -1.1442677
visibility: 0.009502235
","x: 240.12354
y: 1289.854
z: -1.185468
visibility: 0.07318308
","x: 579.8436
y: 1199.7964
z: -1.3097426
visibility: 0.012891657
","x: 246.39604
y: 1397.3444
z: -1.3697827
visibility: 0.07575816
","x: 561.2451
y: 1182.574
z: -1.3749315
visibility: 0.018745357
","x: 271.87827
y: 1362.9584
z: -1.4658372
visibility: 0.109101854
","x: 550.9629
y: 1161.4796
z: -1.2046854
visibility: 0.021440564
","x: 272.6106
y: 1325.4933
z: -1.2460662
visibility: 0.111579865
","x: 492.97675
y: 1343.4315
z: -0.15890846
visibility: 0.00067755824
","x: 302.41373
y: 1366.2651
z: 0.16602686
visibility: 0.0008253003
","x: 510.93808
y: 1868.5466
z: -0.08282821
visibility: 0.00040930076
","x: 331.95462
y: 1884.9468
z: 0.36096513
visibility: 0.0003616611
","x: 526.8932
y: 2336.8994
z: 0.7816634
visibility: 8.022015e-05
","x: 356.99597
y: 2349.8582
z: 1.1315202
visibility: 2.6194517e-05
","x: 535.8251
y: 2407.0703
z: 0.8114874
visibility: 6.201186e-05
","x: 356.52026
y: 2422.206
z: 1.1847904
visibility: 9.007015e-05
","x: 500.17285
y: 2495.5828
z: -0.09234993
visibility: 6.871875e-05
","x: 394.96027
y: 2504.0952
z: 0.24023011
visibility: 0.00014540323
"
47,"x: 352.71188
y: 469.44858
z: -1.449742
visibility: 0.9962443
","x: 365.30908
y: 407.0689
z: -1.3431733
visibility: 0.9938417
","x: 377.25488
y: 403.2051
z: -1.3437455
visibility: 0.9928646
","x: 386.0108
y: 400.37256
z: -1.3439202
visibility: 0.9917317
","x: 327.80338
y: 418.61554
z: -1.3577279
visibility: 0.9951417
","x: 316.18863
y: 422.7914
z: -1.3570163
visibility: 0.99563503
","x: 307.49188
y: 426.82172
z: -1.3578696
visibility: 0.9963622
","x: 404.7753
y: 418.2536
z: -0.7250751
visibility: 0.9915425
","x: 298.1688
y: 455.6439
z: -0.6926855
visibility: 0.99743855
","x: 380.3258
y: 518.90955
z: -1.1959015
visibility: 0.9970992
","x: 337.46915
y: 534.45215
z: -1.2039047
visibility: 0.9981293
","x: 498.91827
y: 659.02155
z: -0.33347154
visibility: 0.9493337
","x: 250.33636
y: 690.5083
z: -0.41749462
visibility: 0.9927052
","x: 592.24603
y: 939.74524
z: -0.47997946
visibility: 0.04508927
","x: 188.23274
y: 1065.8081
z: -0.48199758
visibility: 0.39553484
","x: 570.23944
y: 1123.8229
z: -1.1558444
visibility: 0.0099184485
","x: 243.28809
y: 1295.5785
z: -1.157562
visibility: 0.07557282
","x: 581.9524
y: 1196.0719
z: -1.3252652
visibility: 0.013587455
","x: 250.67462
y: 1401.0449
z: -1.3416625
visibility: 0.07867382
","x: 563.0474
y: 1177.7913
z: -1.3870662
visibility: 0.019738903
","x: 275.27112
y: 1365.4603
z: -1.4458
visibility: 0.11317792
","x: 552.6901
y: 1157.731
z: -1.2157767
visibility: 0.022488916
","x: 275.61566
y: 1328.5206
z: -1.2213165
visibility: 0.1157333
","x: 494.01672
y: 1345.2551
z: -0.1587687
visibility: 0.0006601768
","x: 302.71014
y: 1369.7087
z: 0.16573787
visibility: 0.0007994195
","x: 512.85443
y: 1871.9606
z: -0.09398162
visibility: 0.00039693856
","x: 334.26886
y: 1890.53
z: 0.33657816
visibility: 0.0003554756
","x: 529.8815
y: 2342.0146
z: 0.7778524
visibility: 7.667151e-05
","x: 360.71295
y: 2355.6226
z: 1.0673919
visibility: 2.5440677e-05
","x: 539.04846
y: 2413.093
z: 0.8076738
visibility: 5.8817328e-05
","x: 360.32312
y: 2427.8958
z: 1.1166549
visibility: 8.694127e-05
","x: 503.44254
y: 2498.6492
z: -0.09574216
visibility: 6.665898e-05
","x: 399.4348
y: 2508.8254
z: 0.17533726
visibility: 0.00014239804
"
48,"x: 354.77994
y: 471.98816
z: -1.4198829
visibility: 0.99653685
","x: 367.41476
y: 408.25394
z: -1.3196143
visibility: 0.99433774
","x: 378.93243
y: 404.23566
z: -1.3201216
visibility: 0.9934475
","x: 387.37488
y: 401.35516
z: -1.3203645
visibility: 0.99240035
","x: 329.82355
y: 419.97098
z: -1.3392656
visibility: 0.99551934
","x: 317.92792
y: 423.9165
z: -1.338479
visibility: 0.9959748
","x: 308.6598
y: 427.6631
z: -1.339277
visibility: 0.99663734
","x: 405.002
y: 418.6533
z: -0.68000406
visibility: 0.99223644
","x: 298.41504
y: 455.86795
z: -0.69401944
visibility: 0.99764156
","x: 381.33676
y: 521.69574
z: -1.1702186
visibility: 0.99731463
","x: 338.67188
y: 535.8202
z: -1.1845425
visibility: 0.99826014
","x: 500.2917
y: 660.4026
z: -0.27999264
visibility: 0.95156425
","x: 248.33398
y: 683.0051
z: -0.44552436
visibility: 0.9928907
","x: 585.5677
y: 943.4807
z: -0.43339863
visibility: 0.043525565
","x: 186.11661
y: 1059.1173
z: -0.48364264
visibility: 0.3961502
","x: 567.2988
y: 1125.4482
z: -1.1499873
visibility: 0.01024527
","x: 243.07803
y: 1294.8529
z: -1.1359173
visibility: 0.0749925
","x: 579.9761
y: 1197.5835
z: -1.3137476
visibility: 0.014163618
","x: 250.00047
y: 1400.8157
z: -1.3127911
visibility: 0.07795893
","x: 561.095
y: 1178.2936
z: -1.3856468
visibility: 0.020631403
","x: 275.00812
y: 1367.1898
z: -1.4024601
visibility: 0.11243143
","x: 549.9647
y: 1158.1667
z: -1.2145605
visibility: 0.023373844
","x: 275.4617
y: 1329.2654
z: -1.1917132
visibility: 0.11482547
","x: 484.5401
y: 1345.8942
z: -0.13940248
visibility: 0.0006446663
","x: 292.1931
y: 1369.8915
z: 0.14662552
visibility: 0.0007794555
","x: 503.92065
y: 1871.583
z: -0.10757536
visibility: 0.00038384862
","x: 323.90414
y: 1889.9213
z: 0.32508385
visibility: 0.0003481854
","x: 516.8174
y: 2341.3433
z: 0.7430591
visibility: 7.40131e-05
","x: 345.99387
y: 2354.5674
z: 1.0857549
visibility: 2.4443154e-05
","x: 522.7585
y: 2411.898
z: 0.7713605
visibility: 5.685087e-05
","x: 344.41885
y: 2427.3052
z: 1.1369365
visibility: 8.381552e-05
","x: 492.89227
y: 2501.076
z: -0.1427282
visibility: 6.530917e-05
","x: 383.7073
y: 2507.4778
z: 0.1885086
visibility: 0.00013908508
"
